price,Brand,Movement,Case Size,Case Thickness,Case Shape,Case Material,Glass Material,Strap Material,Clasp Type,Gender,Water Resistance (M),Warranty Period,Country of Origin,Power Reserve,Jewels,Interchangeable Strap,Bezel,Limited Edition,Frequency (bph),Case Material Coating,feature_Day-Night Indicator,feature_Month,feature_Tourbillon,feature_Dual Time,feature_Retrograde,feature_Date,feature_Small Seconds,feature_Perpetual Calendar,feature_Triple Time-zone,feature_Jumping Hours,feature_Flying Tourbillon,feature_Power Reserve Indicator,feature_Year,feature_Moon Phase,luminosity_on_Hands,luminosity_on_Hour,luminosity_on_Bezel,luminosity_on_Dial,precious_stone_on_Case,precious_stone_on_Dial,precious_stone_on_Bracelet,precious_stone_on_Crown,precious_stone_on_Clasp,precious_stone_on_Bezel,precious_stone_on_Lugs,precious_stone_on_Buckle
227500,Frederique Constant,Automatic,41.0,11.097300000000022,Round,G-S Hybrid,Sapphire Crystal,G-S Hybrid,Others,Men,50.0,2.0,Switzerland,38.0,26.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151500,Frederique Constant,Quartz,31.0,8.039320000000004,Round,G-S Hybrid,Sapphire Crystal,G-S Hybrid,Others,Women,50.0,2.0,Switzerland,34.02032000000013,0.0,0,No Bezel,0,21600.0,PVD,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
883500,Breitling,Automatic,41.0,11.6,Round,G-S Hybrid,Sapphire Crystal,G-S Hybrid,Butterfly,Men,30.0,2.0,Switzerland,38.0,26.0,0,Bi-directional Rotating Bezel,0,28800.0,No coating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
864900,Breitling,Automatic,36.0,11.4,Round,G-S Hybrid,Sapphire Crystal,G-S Hybrid,Folding,Women,30.0,2.0,Switzerland,38.0,26.0,0,Bi-directional Rotating Bezel,0,28800.0,No coating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
146000,Longines,Quartz,36.0,7.215150000000025,Round,G-S Hybrid,Sapphire Crystal,G-S Hybrid,Folding,Men,30.0,2.0,Switzerland,56.879919999999956,0.0,0,No Bezel,0,28800.0,PVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178000,Longines,Quartz,33.0,8.27171999999999,Round,G-S Hybrid,Sapphire Crystal,G-S Hybrid,Others,Women,30.0,2.0,Switzerland,54.90947999999996,0.0,0,No Bezel,0,28800.0,PVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970000,Girard-Perregaux,Automatic,42.0,12.01,Octagon,Steel,Sapphire Crystal,Steel,Folding,Men,100.0,2.0,Switzerland,46.0,63.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1600000,H. Moser & Cie.,Automatic,42.8,10.6,Round,Steel,Sapphire Crystal,Rubber,Tang,Men,120.0,2.0,Switzerland,72.0,27.0,0,No Bezel,0,21600.0,DLC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1600000,H. Moser & Cie.,Automatic,42.0,11.1,Round,Steel,Sapphire Crystal,Leather,Tang,Men,30.0,2.0,Switzerland,72.0,27.0,0,No Bezel,0,21600.0,No coating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1370000,Arnold & Son,Manual Winding,43.0,13.831065333333324,Round,Steel,Sapphire Crystal,Steel,Folding,Men,30.0,2.0,Switzerland,192.0,33.0,0,No Bezel,0,21600.0,No coating,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
772632,Carl F. Bucherer,Automatic,43.0,14.45,Round,Steel,Sapphire Crystal,Steel,Folding,Men,30.0,2.0,Switzerland,42.0,29.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456000,Nomos Glashutte,Automatic,42.0,10.9,Round,Steel,Sapphire Crystal,Steel,Others,Men,300.0,2.0,Germany,42.0,27.0,0,No Bezel,0,21600.0,No coating,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
460000,Baume & Mercier,Automatic,42.0,11.979099999999939,Round,Steel,Sapphire Crystal,Steel,Folding,Men,50.0,2.0,Switzerland,120.0,21.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
233000,Raymond Weil,Automatic,42.0,10.9,Round,Steel,Sapphire Crystal,Others,Folding,Men,100.0,2.0,Switzerland,41.0,27.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
201000,Doxa,Automatic,42.5,14.148099999999989,Round,Steel,Sapphire Crystal,Steel,Folding,Men,1200.0,2.0,Switzerland,38.0,26.0,0,Unidirectional Rotating Bezel,0,28800.0,No coating,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211000,Tissot,Automatic,45.0,14.153519999999949,Round,Steel,Sapphire Crystal,Leather,Others,Men,100.0,2.0,Switzerland,49.918,27.0,0,No Bezel,0,28800.0,PVD,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1217160,Carl F. Bucherer,Automatic,41.0,7.3,Round,G-S Hybrid,Sapphire Crystal,Leather,Tang,Men,30.0,2.0,Switzerland,42.0,47.0,0,No Bezel,1,28800.0,No coating,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2300000,Girard-Perregaux,Automatic,44.0,12.2,Round,Steel,Sapphire Crystal,Leather,Folding,Men,30.0,2.0,Switzerland,54.0,23.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
3650000,Parmigiani,Automatic,40.0,11.7,Round,Gold,Sapphire Crystal,Leather,Tang,Men,30.0,2.0,Switzerland,42.0,46.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
232000,Maurice Lacroix,Automatic,42.0,11.0,Round,Steel,Sapphire Crystal,Steel,Folding,Men,200.0,2.0,Switzerland,38.0,26.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
210000,Seiko,Automatic,40.5,12.04942000000004,Round,Steel,Others,Leather,Others,Men,100.0,2.0,Japan,45.0,29.0,0,No Bezel,1,28800.0,No coating,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340000,Baume & Mercier,Automatic,40.0,9.80489000000002,Round,Steel,Sapphire Crystal,Steel,Folding,Men,50.0,2.0,Switzerland,96.0,0.0,0,No Bezel,0,21600.0,No coating,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291000,Maurice Lacroix,Automatic,43.0,12.269759999999998,Round,Steel,Sapphire Crystal,Steel,Butterfly,Men,100.0,2.0,Switzerland,52.0,21.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
377900,Frederique Constant,Automatic,42.0,13.225185714285699,Round,G-S Hybrid,Sapphire Crystal,Leather,Others,Men,50.0,2.0,Switzerland,38.0,33.0,0,No Bezel,0,28000.0,No coating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
378000,Nomos Glashutte,Automatic,38.5,8.4,Round,Steel,Sapphire Crystal,Leather,Winged Clasp,Men,50.0,2.0,Germany,43.0,27.0,0,No Bezel,0,21600.0,No coating,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
412000,Doxa,Automatic,42.5,13.4,Round,Carbon-based,Sapphire Crystal,Rubber,Folding,Men,300.0,2.0,Switzerland,38.0,26.0,0,Unidirectional Rotating Bezel,0,28800.0,No coating,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
395500,Bremont,Automatic,40.0,13.0,Round,Steel,Sapphire Crystal,Steel,Folding,Men,300.0,3.0,England,38.0,21.0,0,Unidirectional Rotating Bezel,0,28800.0,No coating,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
515100,TAG Heuer,Automatic,41.0,11.15,Round,Titanium,Sapphire Crystal,Nylon,Folding,Men,300.0,2.0,Switzerland,38.0,25.0,0,Unidirectional Rotating Bezel,0,28800.0,No coating,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
492000,Favre Leuba,Automatic,46.0,14.766340000000035,Cushion,Steel,Sapphire Crystal,Steel,Folding,Men,500.0,5.0,Switzerland,38.0,0.0,0,Unidirectional Rotating Bezel,0,28800.0,No coating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
469700,Breitling,Automatic,42.0,14.118846666666684,Round,Steel,Sapphire Crystal,Rubber,Others,Men,200.0,5.0,Switzerland,70.0,28.0,0,Unidirectional Rotating Bezel,0,28800.0,No coating,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
507000,Doxa,Automatic,42.5,13.4,Round,Carbon-based,Sapphire Crystal,Rubber,Folding,Men,300.0,2.0,Switzerland,38.0,25.0,0,Unidirectional Rotating Bezel,1,28800.0,No coating,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
559000,Corum,Automatic,32.0,8.192739999999999,Round,Steel,Sapphire Crystal,Steel,Folding,Women,50.0,2.0,Switzerland,40.0,18.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530000,Grand Seiko,Spring Drive,41.0,12.5,Round,Titanium,Sapphire Crystal,Titanium,Folding,Men,100.0,5.0,Japan,72.0,0.0,0,No Bezel,0,32768.0,No coating,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
588000,Corum,Automatic,38.0,10.848856666666673,Round,Steel,Sapphire Crystal,Steel,Folding,Women,50.0,2.0,Switzerland,42.0,0.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
600000,Oris,Manual Winding,44.0,14.0,Round,Steel,Sapphire Crystal,Steel,Folding,Men,100.0,2.0,Switzerland,240.0,40.0,0,No Bezel,0,21600.0,No coating,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
720000,Jaeger-LeCoultre,Quartz,40.1,8.52,Rectangular,Steel,Sapphire Crystal,Leather,Folding,Women,30.0,2.0,Switzerland,36.11824000000007,0.0,1,No Bezel,0,21600.0,No coating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
566500,Bremont,Automatic,43.0,14.875363214285768,Round,Steel,Sapphire Crystal,Leather,Tang,Men,100.0,3.0,England,42.0,25.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
590000,Grand Seiko,Automatic,44.2,14.4,Round,Steel,Sapphire Crystal,Steel,Folding,Men,200.0,5.0,Japan,55.0,37.0,0,Unidirectional Rotating Bezel,0,36000.0,No coating,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
672084,Carl F. Bucherer,Automatic,26.5,9.08,Round,G-S Hybrid,Sapphire Crystal,G-S Hybrid,Folding,Women,30.0,2.0,Switzerland,38.0,25.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
609500,Bremont,Automatic,43.0,16.0,Round,Steel,Sapphire Crystal,Steel,Folding,Men,100.0,3.0,England,42.0,25.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1020000,Corum,Automatic,45.0,13.288996666666678,Round,Bronze,Sapphire Crystal,Leather,Others,Men,100.0,2.0,Switzerland,46.51697142857143,0.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1340000,Girard-Perregaux,Quartz,34.0,7.75,Octagon,Steel,Sapphire Crystal,Steel,Folding,Women,30.0,2.0,Switzerland,32.24088000000015,0.0,0,No Bezel,0,21600.0,No coating,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
1110000,Jaeger-LeCoultre,Automatic,34.0,9.104513333333333,Round,Steel,Sapphire Crystal,Leather,Folding,Women,30.0,2.0,Switzerland,38.0,30.0,1,No Bezel,0,28800.0,No coating,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1360000,Jaeger-LeCoultre,Automatic,40.0,10.95,Round,Steel,Sapphire Crystal,Leather,Folding,Men,50.0,2.0,Switzerland,70.0,34.0,1,No Bezel,0,28800.0,No coating,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
1700000,Girard-Perregaux,Automatic,44.0,13.945979999999947,Octagon,Titanium,Sapphire Crystal,Rubber,Others,Men,300.0,2.0,Switzerland,46.0,63.0,0,No Bezel,0,28800.0,DLC,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1590000,Jaeger-LeCoultre,Automatic,34.0,8.0,Round,Steel,Sapphire Crystal,Leather,Folding,Women,30.0,2.0,Switzerland,38.0,30.0,1,No Bezel,0,28800.0,No coating,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1620000,Arnold & Son,Manual Winding,42.0,10.86001333333335,Round,Steel,Sapphire Crystal,Leather,Tang,Men,30.0,2.0,Switzerland,90.0,0.0,0,No Bezel,0,21600.0,No coating,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1790000,Hublot,Quartz,33.0,8.073850000000022,Round,Gold,Sapphire Crystal,Rubber,Others,Women,50.0,2.0,Switzerland,32.585120000000146,0.0,0,No Bezel,0,21600.0,No coating,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2700000,Arnold & Son,Manual Winding,41.5,8.988273333333318,Round,Gold,Sapphire Crystal,Leather,Tang,Men,30.0,2.0,Switzerland,90.0,24.0,0,No Bezel,0,21600.0,No coating,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3370000,Girard-Perregaux,Automatic,30.4,9.21,Oval,Gold,Sapphire Crystal,Leather,Folding,Women,30.0,2.0,Switzerland,46.0,28.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3780000,Girard-Perregaux,Quartz,34.0,7.75,Octagon,Gold,Sapphire Crystal,Gold,Folding,Women,30.0,2.0,Switzerland,32.20088000000015,0.0,0,No Bezel,0,21600.0,No coating,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
69000,Seiko,Quartz,41.5,11.693026666666698,Round,Steel,Sapphire Crystal,Leather,Others,Men,100.0,2.0,Japan,42.09239999999998,0.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308000,Longines,Automatic,42.0,11.491071047619055,Round,Steel,Sapphire Crystal,Leather,Others,Men,30.0,5.0,Switzerland,54.0,0.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99700,Rado,Quartz,28.0,6.93467999999996,Round,G-S Hybrid,Sapphire Crystal,G-S Hybrid,Others,Women,30.0,5.0,Switzerland,64.23847999999998,0.0,0,No Bezel,0,25200.0,PVD,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167800,Rado,Quartz,38.5,9.655473333333298,Oval,G-S Hybrid,Sapphire Crystal,G-S Hybrid,Others,Men,30.0,5.0,Switzerland,75.89111999999997,0.0,0,No Bezel,0,28800.0,PVD,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342000,Longines,Automatic,40.0,11.71297999999993,Round,Steel,Sapphire Crystal,Steel,Others,Men,30.0,5.0,Switzerland,42.0,0.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
61000,Rado,Quartz,35.0,9.621819999999994,Oval,Steel,Sapphire Crystal,Steel,Others,Men,30.0,5.0,Switzerland,75.94655999999995,0.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81400,Rado,Quartz,35.1,9.467549999999989,Oval,G-S Hybrid,Sapphire Crystal,G-S Hybrid,Others,Men,30.0,5.0,Switzerland,75.61711999999997,0.0,0,No Bezel,0,28800.0,PVD,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
127200,Rado,Automatic,35.0,9.467549999999989,Oval,G-S Hybrid,Sapphire Crystal,G-S Hybrid,Others,Men,30.0,5.0,Switzerland,77.44991999999999,0.0,0,No Bezel,0,28800.0,PVD,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
111900,Rado,Automatic,35.0,9.467549999999989,Oval,G-S Hybrid,Sapphire Crystal,G-S Hybrid,Others,Men,30.0,5.0,Switzerland,77.44991999999999,0.0,0,No Bezel,0,28800.0,PVD,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
135300,Rado,Automatic,38.5,9.483959999999964,Round,Steel,Sapphire Crystal,Steel,Others,Men,100.0,5.0,Switzerland,79.214,0.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147500,Rado,Quartz,38.5,10.564636666666676,Oval,Steel,Sapphire Crystal,Steel,Others,Men,100.0,5.0,Switzerland,75.20687999999996,0.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127200,Rado,Automatic,35.0,9.46221999999999,Oval,G-S Hybrid,Sapphire Crystal,Gold,Others,Men,30.0,5.0,Switzerland,77.57335999999998,0.0,0,No Bezel,0,28800.0,PVD,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
342000,Longines,Automatic,40.0,11.014326666666683,Round,Steel,Sapphire Crystal,Leather,Others,Men,30.0,5.0,Switzerland,42.0,0.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
155100,Rado,Quartz,28.0,7.403559999999974,Round,Steel,Sapphire Crystal,Steel,Others,Women,30.0,5.0,Switzerland,64.90391999999999,0.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
39500,Tissot,Quartz,39.0,9.5410685714286,Round,Steel,Sapphire Crystal,Steel,Others,Men,100.0,2.0,Switzerland,57.96895999999996,0.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55000,Tissot,Quartz,41.0,10.389979999999955,Round,Steel,Sapphire Crystal,Steel,Others,Men,100.0,2.0,Switzerland,64.11207999999996,0.0,0,No Bezel,0,25200.0,No coating,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50500,Tissot,Quartz,41.0,10.455811999999934,Round,Steel,Sapphire Crystal,Leather,Others,Men,100.0,2.0,Switzerland,64.82695999999996,0.0,0,No Bezel,0,36000.0,No coating,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134600,Rado,Quartz,27.0,7.47156,Round,Ceramic,Sapphire Crystal,Ceramic,Others,Women,30.0,5.0,Switzerland,64.85447999999998,0.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21000,Seiko,Quartz,43.0,12.189489357142842,Round,Steel,Hardlex Crystal,Steel,Others,Men,100.0,2.0,Japan,43.594479999999955,0.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75500,Frederique Constant,Quartz,39.0,9.865726190476211,Round,Steel,Sapphire Crystal,Leather,Others,Men,30.0,2.0,Switzerland,36.28336000000009,0.0,0,No Bezel,0,21600.0,No coating,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66000,Frederique Constant,Quartz,28.6,8.049300000000002,Round,Steel,Sapphire Crystal,Leather,Others,Women,30.0,2.0,Switzerland,34.66656000000011,0.0,0,No Bezel,0,21600.0,No coating,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166200,Rado,Quartz,28.0,7.17629999999997,Round,Gold,Sapphire Crystal,Gold,Others,Women,30.0,5.0,Switzerland,64.80991999999998,0.0,0,No Bezel,0,28800.0,PVD,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
