price,Brand,Movement,Case Size,Case Thickness,Case Shape,Case Material,Glass Material,Strap Material,Clasp Type,Gender,Water Resistance (M),Warranty Period,Country of Origin,Power Reserve,Jewels,Interchangeable Strap,Bezel,Limited Edition,Frequency (bph),Case Material Coating,luminosity_on_Hands,luminosity_on_Hour,luminosity_on_Bezel,luminosity_on_Dial,precious_stone_on_Case,precious_stone_on_Dial,precious_stone_on_Bracelet,precious_stone_on_Crown,precious_stone_on_Clasp,precious_stone_on_Bezel,precious_stone_on_Lugs,feature_Triple Time-zone,feature_Flying Tourbillon,feature_Month,feature_Perpetual Calendar,feature_Tourbillon,feature_Small Seconds,feature_Day-Night Indicator,feature_Dual Time,feature_Retrograde,feature_Jumping Hours,feature_Moon Phase,feature_Power Reserve Indicator,feature_Date,feature_Year
28000,Maserati,Quartz,44.0,11.4,Round,Steel,Mineral Crystal,Steel,Others,Men,100.0,2.0,China,37.72448000000004,0.0,0,No Bezel,0,28800.0,No coating,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
228000,Longines,Automatic,42.0,11.668719999999947,Round,Steel,Sapphire Crystal,Leather,Others,Men,100.0,5.0,Switzerland,64.0,0.0,0,No Bezel,0,25200.0,No coating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
154000,Doxa,Automatic,40.0,14.15,Round,Ceramic,Sapphire Crystal,Rubber,Folding,Men,600.0,2.0,Switzerland,38.0,26.0,0,Unidirectional Rotating Bezel,0,28800.0,No coating,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
430000,Grand Seiko,Automatic,39.5,13.1,Round,Steel,Sapphire Crystal,Leather,Folding,Men,30.0,5.0,Japan,72.0,35.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5939000,Corum,Manual Winding,34.0,8.600780000000032,Tonneau,Gold,Sapphire Crystal,Leather,Others,Men,30.0,2.0,Switzerland,41.04624,0.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98000,Raymond Weil,Quartz,22.6,6.4,Rectangular,Steel,Sapphire Crystal,Leather,Folding,Women,50.0,2.0,Switzerland,34.4587200000001,0.0,0,No Bezel,0,21600.0,No coating,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25000,Tissot,Quartz,42.0,11.79777333333338,Round,Steel,Sapphire Crystal,Leather,Others,Men,50.0,2.0,Switzerland,67.28487999999994,0.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
736000,Doxa,Automatic,42.5,11.95,Round,Gold,Sapphire Crystal,Rubber,Folding,Men,300.0,2.0,Switzerland,38.0,26.0,0,Unidirectional Rotating Bezel,0,28800.0,No coating,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
450000,Oris,Automatic,39.0,11.907199999999994,Round,Titanium,Sapphire Crystal,Titanium,Folding,Men,100.0,2.0,Switzerland,120.0,21.0,0,No Bezel,0,28800.0,No coating,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
606700,Omega,Automatic,38.0,12.2,Round,Steel,Sapphire Crystal,Rubber,Folding,Men,150.0,5.0,Switzerland,55.0,0.0,0,No Bezel,0,25200.0,No coating,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16800,Maserati,Quartz,43.0,11.2,Round,Steel,Mineral Crystal,Steel,Folding,Men,100.0,2.0,China,35.785040000000066,0.0,0,No Bezel,0,21600.0,No coating,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
874200,Breitling,Automatic,36.0,10.0,Round,Steel,Sapphire Crystal,Steel,Folding,Women,100.0,2.0,Switzerland,42.0,25.0,0,Unidirectional Rotating Bezel,0,28800.0,No coating,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
221600,Rado,Quartz,39.5,9.8,Round,G-S Hybrid,Sapphire Crystal,G-S Hybrid,Butterfly,Unisex,50.0,5.0,Switzerland,77.90816,0.0,0,No Bezel,0,28800.0,PVD,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
82000,Longines,Quartz,41.0,10.381989999999984,Round,Steel,Sapphire Crystal,Steel,Others,Men,300.0,2.0,Switzerland,54.88208380952377,0.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
64500,Seiko,Quartz,42.9,11.913604999999981,Round,Steel,Sapphire Crystal,G-S Hybrid,Others,Men,100.0,2.0,Japan,40.55503999999999,0.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
90000,Frederique Constant,Quartz,30.0,7.786160000000044,Round,G-S Hybrid,Sapphire Crystal,G-S Hybrid,Others,Women,30.0,2.0,Switzerland,39.352719999999984,1.0,0,No Bezel,0,28800.0,PVD,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
195000,Baume & Mercier,Quartz,36.0,9.196309999999992,Round,Steel,Sapphire Crystal,Steel,Others,Women,50.0,2.0,Switzerland,51.647359999999985,0.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1600000,Arnold & Son,Manual Winding,38.0,8.73,Round,Steel,Sapphire Crystal,Leather,Tang,Men,30.0,2.0,Switzerland,90.0,24.0,0,No Bezel,0,21600.0,No coating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
244000,NORQAIN,Automatic,42.0,12.8,Round,Ceramic,Sapphire Crystal,Steel,Folding,Men,100.0,2.0,Switzerland,41.0,26.0,0,Unidirectional Rotating Bezel,0,28800.0,No coating,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1580000,Girard-Perregaux,Automatic,38.0,10.0,Octagon,Steel,Sapphire Crystal,Steel,Folding,Unisex,100.0,2.0,Switzerland,46.0,27.0,0,No Bezel,0,28800.0,No coating,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
262000,Longines,Automatic,42.0,10.3,Round,Steel,Sapphire Crystal,Steel,Folding,Men,30.0,5.0,Switzerland,72.0,0.0,0,No Bezel,0,25200.0,No coating,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
193800,TAG Heuer,Quartz,43.0,12.4,Round,Steel,Sapphire Crystal,Rubber,Tang,Men,200.0,2.0,Switzerland,47.57591999999997,0.0,0,Unidirectional Rotating Bezel,0,21600.0,PVD,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
400000,Bell & Ross,Automatic,42.0,12.05,Square,Ceramic,Sapphire Crystal,Rubber,Tang,Men,300.0,2.0,Switzerland,54.0,25.0,0,Unidirectional Rotating Bezel,0,28800.0,No coating,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1059000,Corum,Automatic,47.0,14.068636666666698,Round,Steel,Sapphire Crystal,Leather,Others,Men,100.0,2.0,Switzerland,47.8,0.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1540000,CVSTOS,Automatic,41.0,13.267523809523816,Tonneau,Steel,Sapphire Crystal,Rubber,Folding,Men,100.0,2.0,Switzerland,42.0,21.0,0,No Bezel,0,28800.0,No coating,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
235000,Oris,Automatic,40.0,11.79300333333333,Round,Others,Sapphire Crystal,Leather,Others,Men,100.0,2.0,Switzerland,38.0,26.0,0,No Bezel,0,28800.0,No coating,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
297000,Longines,Automatic,34.0,11.1,Round,Steel,Sapphire Crystal,Leather,Others,Women,30.0,5.0,Switzerland,72.0,0.0,0,No Bezel,0,21600.0,No coating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
120000,Titoni,Automatic,29.0,6.357859999999989,Round,G-S Hybrid,Sapphire Crystal,G-S Hybrid,Folding,Women,50.0,2.0,Switzerland,45.7488,0.0,0,No Bezel,0,28800.0,PVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
240000,Oris,Automatic,43.5,13.5,Round,Ceramic,Sapphire Crystal,Steel,Folding,Men,300.0,2.0,Switzerland,41.0,26.0,0,Unidirectional Rotating Bezel,0,28800.0,No coating,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
